                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 00:46:53  -107748.716094*      18.4368
BFGSLineSearch:    1[  1] 01:57:38  -107751.078175*       2.0053
BFGSLineSearch:    2[  2] 03:45:45  -107751.477426*       1.5679
BFGSLineSearch:    3[  3] 04:51:21  -107751.682130*       0.7134
BFGSLineSearch:    4[  5] 06:56:35  -107751.825022*       1.3233
BFGSLineSearch:    5[  6] 08:10:12  -107752.066361*       1.3264
BFGSLineSearch:    6[  7] 09:26:17  -107752.393605*       0.8400
BFGSLineSearch:    7[  8] 10:28:17  -107752.504944*       0.7445
BFGSLineSearch:    8[ 10] 11:54:44  -107752.619891*       0.6941
BFGSLineSearch:    9[ 13] 15:32:30  -107752.796050*       0.4232
BFGSLineSearch:   10[ 14] 16:55:08  -107752.870724*       0.3061
BFGSLineSearch:   11[ 16] 19:08:21  -107752.889267*       0.2457
BFGSLineSearch:   12[ 17] 20:09:17  -107752.917558*       0.1500
BFGSLineSearch:   13[ 18] 21:06:52  -107752.930685*       0.1187
BFGSLineSearch:   14[ 19] 22:10:21  -107752.940474*       0.0966
BFGSLineSearch:   15[ 22] 00:49:34  -107752.947100*       0.1350
BFGSLineSearch:   16[ 24] 01:58:43  -107752.952662*       0.1294
BFGSLineSearch:   17[ 26] 03:16:33  -107752.957923*       0.1368
BFGSLineSearch:   18[ 28] 04:45:55  -107752.963322*       0.1673
BFGSLineSearch:   19[ 31] 07:45:08  -107752.970538*       0.2174
BFGSLineSearch:   20[ 33] 09:19:02  -107752.980989*       0.2580
BFGSLineSearch:   21[ 36] 13:05:33  -107752.988788*       0.2541
BFGSLineSearch:   22[ 37] 14:00:17  -107752.997762*       0.2461
