                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 01:03:36  -100814.452464*      18.8140
BFGSLineSearch:    1[  1] 02:36:41  -100816.945003*       1.9348
BFGSLineSearch:    2[  3] 05:56:16  -100817.294002*       0.5824
BFGSLineSearch:    3[  4] 07:19:11  -100817.359470*       0.6077
BFGSLineSearch:    4[  6] 09:59:40  -100817.508095*       0.8457
BFGSLineSearch:    5[  8] 12:55:57  -100817.598965*       0.8607
BFGSLineSearch:    6[  9] 14:33:57  -100817.717766*       1.8873
BFGSLineSearch:    7[ 10] 16:12:57  -100817.860780*       0.9931
BFGSLineSearch:    8[ 11] 17:14:10  -100818.013287*       0.6634
BFGSLineSearch:    9[ 12] 18:33:41  -100818.128496*       0.5834
BFGSLineSearch:   10[ 14] 20:45:31  -100818.228242*       1.2593
BFGSLineSearch:   11[ 15] 22:00:52  -100818.325298*       0.3175
BFGSLineSearch:   12[ 16] 23:27:44  -100818.395176*       0.2940
BFGSLineSearch:   13[ 17] 00:48:46  -100818.430871*       0.3924
BFGSLineSearch:   14[ 18] 02:00:00  -100818.464189*       0.5358
BFGSLineSearch:   15[ 19] 03:44:55  -100818.520028*       0.6336
BFGSLineSearch:   16[ 21] 06:21:56  -100818.601406*       1.0247
BFGSLineSearch:   17[ 22] 07:44:22  -100818.663981*       0.7419
BFGSLineSearch:   18[ 23] 09:03:52  -100818.731391*       0.8388
BFGSLineSearch:   19[ 25] 11:05:13  -100818.776234*       0.4221
BFGSLineSearch:   20[ 27] 13:22:10  -100818.812017*       0.6462
BFGSLineSearch:   21[ 28] 14:37:38  -100818.835122*       0.3261
